"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\Screens\Global.js", "JavaScript", 9, 0, 0, 6, 15
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\Screens\LandingPage.js", "JavaScript", 92, 0, 5, 13, 110
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\Screens\NotFound.js", "JavaScript", 12, 0, 0, 3, 15
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\Screens\Ranks.js", "JavaScript", 101, 0, 0, 12, 113
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\Screens\TestForBackend.js", "JavaScript", 28, 0, 3, 13, 44
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\adminSide\Admin.js", "JavaScript", 29, 0, 0, 6, 35
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\adminSide\Event.js", "JavaScript", 163, 0, 1, 15, 179
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\adminSide\ManagePlayers.js", "JavaScript", 7, 0, 0, 3, 10
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\adminSide\Suggestion.js", "JavaScript", 66, 0, 0, 9, 75
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\AddPlaylist.js", "JavaScript", 63, 0, 2, 11, 76
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\AddVideo.js", "JavaScript", 63, 0, 32, 11, 106
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\AddVideoToPlayList.js", "JavaScript", 50, 0, 14, 6, 70
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Event.js", "JavaScript", 63, 0, 0, 10, 73
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Footer.js", "JavaScript", 9, 0, 0, 4, 13
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Friend.js", "JavaScript", 58, 0, 0, 5, 63
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Friends.js", "JavaScript", 37, 0, 0, 7, 44
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Header.js", "JavaScript", 45, 0, 0, 6, 51
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Individualvideos.js", "JavaScript", 29, 0, 0, 9, 38
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\LikesSuggestion.js", "JavaScript", 66, 0, 0, 9, 75
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Loading.js", "JavaScript", 7, 0, 0, 3, 10
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\OneVideo.js", "JavaScript", 43, 0, 1, 8, 52
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Peoples.js", "JavaScript", 40, 0, 0, 7, 47
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Playlist.js", "JavaScript", 87, 0, 0, 9, 96
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Playlists.js", "JavaScript", 33, 0, 4, 5, 42
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Popup.js", "JavaScript", 13, 0, 0, 2, 15
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Slides.js", "JavaScript", 27, 0, 4, 7, 38
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Suggestion.js", "JavaScript", 56, 0, 0, 8, 64
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\Videos.js", "JavaScript", 22, 0, 4, 5, 31
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\components\WatchItem.js", "JavaScript", 93, 0, 42, 22, 157
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\config\texts.js", "JavaScript", 7, 0, 0, 1, 8
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\config\urls.js", "JavaScript", 18, 0, 1, 1, 20
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\adminSuggestion.module.css", "CSS", 0, 3, 0, 0, 3
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\adminevent.module.css", "CSS", 0, 30, 0, 4, 34
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\global.css", "CSS", 0, 26, 0, 6, 32
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\landingpage.module.css", "CSS", 0, 20, 0, 3, 23
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\pop.css", "CSS", 0, 37, 0, 3, 40
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\profileWall.module.css", "CSS", 0, 3, 0, 0, 3
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\ranks.module.css", "CSS", 0, 26, 0, 5, 31
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\singleevent.module.css", "CSS", 0, 21, 0, 3, 24
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\css\singlesuggestion.module.css", "CSS", 0, 25, 0, 4, 29
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\index.js", "JavaScript", 43, 0, 5, 16, 64
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Events.js", "JavaScript", 74, 0, 0, 6, 80
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\ProfileWall.js", "JavaScript", 129, 0, 0, 7, 136
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\AddMessage.js", "JavaScript", 65, 0, 0, 11, 76
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\Chat.js", "JavaScript", 135, 0, 1, 16, 152
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\ChatOneToOne.js", "JavaScript", 37, 0, 9, 11, 57
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\EventSTATE.js", "JavaScript", 71, 0, 0, 6, 77
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\PeoplesSTATE.js", "JavaScript", 20, 0, 0, 3, 23
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\PrintMessages.js", "JavaScript", 18, 0, 0, 4, 22
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\Profile.js", "JavaScript", 133, 0, 0, 10, 143
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\ProfileSTATE.js", "JavaScript", 58, 0, 335, 5, 398
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\SetStartingState.js", "JavaScript", 58, 0, 0, 6, 64
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Signup.js", "JavaScript", 119, 0, 3, 24, 146
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Suggestion.js", "JavaScript", 165, 0, 0, 16, 181
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\login.js", "JavaScript", 95, 0, 17, 22, 134
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\videos\VideoComponent.js", "JavaScript", 75, 0, 0, 15, 90
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\videos\VideoPlateform.js", "JavaScript", 113, 0, 6, 18, 137
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\Firebase.js", "JavaScript", 20, 0, 2, 2, 24
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\Functions.js", "JavaScript", 20, 0, 26, 8, 54
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\cognito.js", "JavaScript", 84, 0, 2, 14, 100
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\ip.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\testBackEndMongoose.js", "JavaScript", 39, 0, 6, 16, 61
"Total", "-", 3023, 191, 525, 503, 4242